meeting_id,url,date
1,https://www.ft.dk/forhandlinger/20211/20211M056_2022-02-03_1000.htm,Torsdag den 3. februar 2022 kl. 10.00
2,https://www.ft.dk/forhandlinger/20211/20211M038_2021-12-17_1000.htm,Fredag den 17. december 2021 kl. 10.00
